[2026-08-16 22:55:44] 监控启动：CPU≤60% GPU≤95%（间隔 10s）
[2026-08-16 22:56:40] CPU 7.6% | GPU 18.0% 显存 1357MiB
[2026-08-16 23:42:08] CPU 5.6% | GPU 100.0% 显存 24052MiB  <== ALERT GPU 100.0%
[2026-08-16 23:42:19] CPU 10.4% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:42:30] CPU 5.9% | GPU 100.0% 显存 24057MiB  <== ALERT GPU 100.0%
[2026-08-16 23:42:41] CPU 12.1% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:42:52] CPU 9.8% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:43:03] CPU 7.9% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:43:14] CPU 10.1% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:43:25] CPU 8.1% | GPU 97.0% 显存 24052MiB  <== ALERT GPU 97.0%
[2026-08-16 23:43:36] CPU 10.2% | GPU 99.0% 显存 24046MiB  <== ALERT GPU 99.0%
[2026-08-16 23:43:47] CPU 6.7% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:43:58] CPU 7.0% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:44:09] CPU 6.8% | GPU 100.0% 显存 24052MiB  <== ALERT GPU 100.0%
[2026-08-16 23:44:20] CPU 10.2% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:44:32] CPU 7.6% | GPU 99.0% 显存 24057MiB  <== ALERT GPU 99.0%
[2026-08-16 23:44:43] CPU 9.1% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:44:54] CPU 9.2% | GPU 99.0% 显存 24047MiB  <== ALERT GPU 99.0%
[2026-08-16 23:45:05] CPU 8.1% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:45:16] CPU 7.0% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:45:27] CPU 8.6% | GPU 99.0% 显存 24052MiB  <== ALERT GPU 99.0%
[2026-08-16 23:45:38] CPU 7.1% | GPU 99.0% 显存 24046MiB  <== ALERT GPU 99.0%
[2026-08-16 23:45:49] CPU 7.0% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:46:00] CPU 8.1% | GPU 100.0% 显存 24057MiB  <== ALERT GPU 100.0%
[2026-08-16 23:46:11] CPU 6.3% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
